x_obs,y_obs,y_mod
123.2,-0.456,-1.5568366118
49.36,1.7,1.9794589499
7.748,3.76,4.573436726
-0.974,4.708,5.1903106201
-1.18,4.107,5.2052281847
-1.18,3.191,5.2052281847
-1.178,3.518,5.2050832749
679,-14.14,-12.2737381404
778.3,-11.286,-13.1008445331
855.5,-13.287,-13.6516375457
983.8,-12.066,-14.4285722696
983.4,-6.615,-14.4263780919
980,-10.141,-14.4076752768
948,-13.324,-14.2269387755
890.9,-6.022,-13.881737894
799.6,-7.446,-13.2600442704
698.5,-6.825,-12.4482347462
581.3,-7.275,-11.2923183102
473,-6.045,-9.9401415094
350.4,-3.118,-7.9221836228
238.3,-2.355,-5.3709505951
130.1,-0.072,-1.8344644625
46.64,2.743,2.13337634
6.768,3.378,4.6413428051
690,-30.86,-12.3729577465
507.7,-22.954,-10.4095117254
917.8,-21.25,-14.0481621287
717.2,-14.779,-12.6097198315
757.3,-20.081,-12.938023492
568.6,-5.537,-11.1498177194
416,-10.091,-9.0797471555
467.2,-6.275,-9.8579149846
237.3,-2.257,-5.3439882411
102.4,4.736,-0.6713699204
74.9,2.998,0.6250011114
37.73,4.09,2.6517762217
4.739,4.506,4.7830501476
-1.18,2.651,5.2052281847
-1.18,3.015,5.2052281847
-1.18,1.628,5.2052281847
-1.18,1.134,5.2052281847
-1.18,3.709,5.2052281847
-1.18,4.703,5.2052281847
-1.18,3.446,5.2052281847
677.2,-15.454,-12.2573046949
770.4,-19.312,-13.0402933473
831.8,-20.361,-13.4900430892
870.7,-15.699,-13.752039817
905.4,-11.43,-13.9723149016
824.4,-12.132,-13.4382791396
915.4,-14.119,-14.0335957843
1005,-12.192,-14.5430434783
861.6,-13.311,-13.6922270742
621.3,-8,-11.717398374
601.7,-7.218,-11.5134596089
547.3,-5.195,-10.9020101919
445.5,-4.817,-9.5399634369
312.6,-3.291,-7.1548691099
227,-3.838,-5.0610631229
94.89,2.191,-0.3324037541
30.89,3.204,3.0651821922
2.593,4.11,4.9345860755
-1.225,6.74,5.2084890643
348.7,-15.729,-7.8893961586
304.1,-9.233,-6.9705610367
297.1,-11.236,-6.8152774885
674.2,-19.116,-12.2297903164
735.7,-28.25,-12.764127127
563.5,-23.019,-11.0915077251
696.3,-15.356,-12.4288658639
456.6,-7.602,-9.7046753247
393.3,-11.988,-8.7015540804
377.9,-9.862,-8.4319989374
319.4,-7.037,-7.2990668203
218.2,-1.68,-4.8115576534
248.7,-5.25,-5.6462337662
104.3,1.56,-0.7554433549
50.95,2.374,1.8903955863
55.37,2.11,1.6462680949
-1.182,4.271,5.205373096
-1.18,1.488,5.2052281847
-1.18,7.044,5.2052281847
-1.18,6.4,5.2052281847
-1.18,2.596,5.2052281847
-1.18,3.812,5.2052281847
-1.18,4.914,5.2052281847
-1.18,3.456,5.2052281847
-1.18,4.55,5.2052281847
-1.18,3.078,5.2052281847
-1.18,8.495,5.2052281847
-0.421,3.512,5.1503460685
9.421,1.295,4.4583113826
38.28,1.621,2.6191289199
76.14,1.516,0.5631440351
174.6,-3.026,-3.457510917
191.7,-7.536,-4.0134039174
328.3,-8.527,-7.4835831082
310,-12.051,-7.0989781022
270.3,-9.447,-6.189623431
302,-8.163,-6.9243131462
331.9,-10.651,-7.5568991371
334.5,-10.283,-7.6093868922
652.5,-17.069,-12.0259854015
437.1,-9.688,-9.4123236055
348.1,-13.462,-7.8777873047
395.3,-12.79,-8.735770479
